Date,Value
2015-08-19,1803977.19267
2015-08-18,1704654.5782
2015-08-17,1414273.9932
2015-08-16,1145737.75451
2015-08-15,1201448.04046
2015-08-14,1328948.01854
2015-08-13,1461956.27457
2015-08-12,1281112.9605
2015-08-11,1195838.48023
2015-08-10,1381572.86738
2015-08-09,1075398.3593
2015-08-08,1303148.20585
2015-08-07,1228088.12094
2015-08-06,1103973.30483
2015-08-05,1327670.61201
2015-08-04,1075348.88339
2015-08-03,949949.815226
2015-08-02,671499.468955
2015-08-01,884759.556435
2015-07-31,1041513.33587
2015-07-30,1033333.15762
2015-07-29,1103188.35067
2015-07-28,1265076.76544
2015-07-27,926695.322343
2015-07-26,579341.806797
2015-07-25,879910.289118
2015-07-24,1221682.85841
2015-07-23,1185367.95331
2015-07-22,1030804.42292
2015-07-21,1096580.92505
2015-07-20,949290.190688
2015-07-19,751333.20894
2015-07-18,947779.373421
2015-07-17,1229550.44066
2015-07-16,1473628.09826
2015-07-15,1268311.65075
2015-07-14,1286400.63958
2015-07-13,1331647.86294
2015-07-12,1292504.56927
2015-07-11,1354466.27273
2015-07-10,1780454.01324
2015-07-09,1298475.19061
2015-07-08,1278925.21536
2015-07-07,1344477.33377
2015-07-06,1530520.87732
2015-07-05,933717.890501
2015-07-04,1036173.95773
2015-07-03,1337098.45126
2015-07-02,1337087.91503
2015-07-01,1280883.76496
2015-06-30,1734608.37327
2015-06-29,1139559.77246
2015-06-28,870994.430958
2015-06-27,1294255.24826
2015-06-26,1512668.25294
2015-06-25,942740.579846
2015-06-24,1132574.14553
2015-06-23,1260338.90959
2015-06-22,1059024.19281
2015-06-21,921198.44574
2015-06-20,1286244.19602
2015-06-19,1837052.86043
2015-06-18,1459868.8313
2015-06-17,1955229.23569
2015-06-16,1844236.25745
2015-06-15,1370312.78786
2015-06-14,1329986.08266
2015-06-13,1103192.29357
2015-06-12,1324268.32117
2015-06-11,1392935.77554
2015-06-10,1303509.80233
2015-06-09,1244998.71711
2015-06-08,1001943.98781
2015-06-07,1064474.91632
2015-06-06,1086475.72481
2015-06-05,1443588.41218
2015-06-04,1277219.05789
2015-06-03,1325341.04414
2015-06-02,1517326.80906
2015-06-01,1473819.95235
2015-05-31,782197.707911
2015-05-30,928260.478296
2015-05-29,1125299.61817
2015-05-28,1049285.99305
2015-05-27,1119412.00004
2015-05-26,1039896.70267
2015-05-25,886365.209672
2015-05-24,702062.280471
2015-05-23,1144605.36823
2015-05-22,1165755.1174
2015-05-21,957204.68142
2015-05-20,1191754.86006
2015-05-19,1143305.56564
2015-05-18,827210.0964
2015-05-17,686643.867361
2015-05-16,744402.192593
2015-05-15,1014614.79124
2015-05-14,1047459.52878
2015-05-13,1071140.42366
2015-05-12,1161665.75127
2015-05-11,1075275.17356
2015-05-10,995251.992599
2015-05-09,912949.880654
2015-05-08,1125450.44812
2015-05-07,1369922.51817
2015-05-06,1163293.86459
2015-05-05,1185724.4293
2015-05-04,1115767.98657
2015-05-03,814631.001058
2015-05-02,938951.080965
2015-05-01,1211402.25171
2015-04-30,1220912.96657
2015-04-29,1302466.31542
2015-04-28,1282095.82139
2015-04-27,1387033.68476
2015-04-26,986913.304142
2015-04-25,1061784.87241
2015-04-24,1300018.22487
2015-04-23,1043100.65398
2015-04-22,1492167.79494
2015-04-21,1167048.98372
2015-04-20,1314222.73997
2015-04-19,824017.017661
2015-04-18,888595.044647
2015-04-17,1160090.32854
2015-04-16,1092751.34812
2015-04-15,796458.568182
2015-04-14,1094007.70927
2015-04-13,736302.887551
2015-04-12,518158.274837
2015-04-11,775358.464219
2015-04-10,938294.357911
2015-04-09,869233.747254
2015-04-08,920414.832755
2015-04-07,825264.711976
2015-04-06,630939.019932
2015-04-05,464142.976205
2015-04-04,534385.211886
2015-04-03,710039.263911
2015-04-02,919886.269914
2015-04-01,1065013.43306
2015-03-31,780481.875871
2015-03-30,809237.493053
2015-03-29,542197.767181
2015-03-28,699832.03712
2015-03-27,1081116.6675
2015-03-26,970255.894672
2015-03-25,1048542.22335
2015-03-24,995369.888364
2015-03-23,777604.434574
2015-03-22,500187.761969
2015-03-21,671989.200632
2015-03-20,898988.249015
2015-03-19,1264777.94069
2015-03-18,1313065.33102
2015-03-17,879535.338765
2015-03-16,845772.82938
2015-03-15,567261.992468
2015-03-14,845760.366632
2015-03-13,936006.72143
2015-03-12,1105245.8328
2015-03-11,964364.131833
2015-03-10,1209163.67226
2015-03-09,869353.142216
2015-03-08,2518102.63592
2015-03-07,982317.326521
2015-03-06,940738.476004
2015-03-05,1005916.16768
2015-03-04,927352.901759
2015-03-03,1209244.9502
2015-03-02,2057569.86744
2015-03-01,915290.390029
2015-02-28,711898.996986
2015-02-27,1875028.08472
2015-02-26,783337.058361
2015-02-25,793938.981734
2015-02-24,830578.411427
2015-02-23,718922.650584
2015-02-22,480914.145479
2015-02-21,765685.841766
2015-02-20,723775.886795
2015-02-19,703399.909491
2015-02-18,814178.367771
