Date,24h Average,Ask,Bid,Last,Total Volume
2016-03-06,404.88,407.09,406.82,407.05,60091.99
2016-03-05,404.31,399.26,398.94,399.26,125904.3
2016-03-04,421.22,410.43,410.01,410.09,75976.31
2016-03-03,422.5,421.4,421.05,421.18,79221.49
2016-03-02,433.67,424.48,423.93,424.37,60944.32
2016-03-01,436.22,436.14,435.83,436.18,70927.22
2016-02-29,437.76,438.14,437.79,438.2,71632.02
2016-02-28,431.57,434.61,434.37,434.4,51404.29
2016-02-27,434.59,434.78,434.5,434.91,42913.49
2016-02-26,426.16,434.54,434.16,434.29,57460.16
2016-02-25,424.41,423.85,423.51,423.92,52060.77
2016-02-24,423.45,426.39,426.28,426.41,68687.54
2016-02-23,429.96,421.92,421.57,421.83,96084.35
2016-02-22,438.44,440.83,440.07,440.91,58077.11
2016-02-21,439.84,439.97,439.86,439.87,102313.91
2016-02-20,431.45,437.95,437.52,437.86,113901.82
2016-02-19,420.47,420.63,420.37,420.62,52802.46
2016-02-18,420.62,421.92,421.6,421.85,76148.78
2016-02-17,415.46,417.2,417.04,417.35,94111.27
2016-02-16,404.48,407.44,407.16,407.5,69341.67
2016-02-15,404.56,401.09,400.77,400.94,84235.71
2016-02-14,400.55,407.63,407.47,407.6,76649.65
2016-02-13,390.47,393.08,392.85,392.98,48089.83
2016-02-12,383.37,386.95,386.7,386.94,57940.78
2016-02-11,379.49,379.1,378.85,379.02,68626.24
2016-02-10,380.59,381.33,381.11,381.54,97161.91
2016-02-09,374.06,374.88,374.57,374.85,57023.96
2016-02-08,377.53,373.54,373.35,373.49,64977.65
2016-02-07,378.12,377.12,376.96,377.1,41364.04
2016-02-06,377.89,376.56,376.44,377.07,81679.88
2016-02-05,388.85,387.93,387.63,387.8,62314.77
2016-02-04,380.05,390.51,390.26,390.34,109604.17
2016-02-03,374.26,370.9,370.67,370.85,63504.75
2016-02-02,376.37,376.04,375.8,376.09,52990.22
2016-02-01,373.83,373.47,373.07,373.24,77215.33
2016-01-31,380.28,369.09,368.84,369.02,46703.56
2016-01-30,380.11,379.38,379.04,379.43,37735.91
2016-01-29,376.98,379.18,378.91,378.93,144072.45
2016-01-28,385.76,381.18,380.84,381.34,79021.72
2016-01-27,396.67,397.66,397.47,397.55,44026.22
2016-01-26,395.14,393.8,393.54,393.74,58848.08
2016-01-25,397.18,393.02,392.75,392.93,70365.67
2016-01-24,397.9,403.47,403.04,403.37,65762.55
2016-01-23,389.74,388.25,387.74,388.14,63903.34
2016-01-22,394.98,382.98,382.65,383.0,149524.78
2016-01-21,415.04,411.74,411.53,411.85,89153.98
2016-01-20,394.47,419.72,419.03,419.67,198153.39
2016-01-19,384.69,380.55,380.26,380.58,65689.5
2016-01-18,383.9,387.58,387.2,387.4,67153.47
